activities were conducted,
operations were performed,
deeds were done,
tasks were accomplished, 
movements were made,
steps were taken ,
actions were taken, 
behaviors were exhibited, 
initiatives were taken, 
proceedings were conducted, 
orders did Mike execute,
instructions did Mike carry out,
commands did Mike perform, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
commands did Mike execute, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
commands did Mike implement, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
commands did Mike activate, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
commands did Mike initiate, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
commands did Mike initiate, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
did Mike gain access to, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
did Mike get into, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
did Mike open, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
did Mike unlock, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
did Mike tap into, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
did Mike enter, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
did Mike gain entrance to, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
did Mike gain access to, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
did Mike gain admittance to, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
did Mike gain entrance into, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
was user Mike's action, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
action did user Mike take, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
did Mike do, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
was Mike's action, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
action did Mike perform, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
was the action of user Mike, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
did user Mike accomplish, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
was the result of user Mike's action, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
was the outcome of user Mike's activity, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
was the result of user Mike's behavior, |filter userIdentity.sessionContext.sessionIssuer.userName like Mike
executed ActivateUser, |filter eventName like "ActivateUser"
ran AddDomain, |filter eventName like "AddDomain"
performed AddUsersToGroup, |filter eventName like "AddUsersToGroup"
AddUserToGroup, |filter eventName like "AddUserToGroup"
executed AdminDeleteUser, |filter eventName like "AdminDeleteUser"
executed executed AdminDeleteUserAttributes, |filter eventName like "AdminDeleteUserAttributes"
AdminDisableUser, |filter eventName like "AdminDisableUser"
executed AdminGetUser, |filter eventName like "AdminGetUser"
executed AdminListGroupsForUser, |filter eventName like "AdminListGroupsForUser"
executed AdminResetUserPassword, |filter eventName like "AdminResetUserPassword"
performed AdminSetUserSettings, |filter eventName like "AdminSetUserSettings"
performed AdminUpdateUserAttributes, |filter eventName like "AdminUpdateUserAttributes"
executed executed AttachInstances, |filter eventName like "AttachInstances"
executed AuthenticateUser, |filter eventName like "AuthenticateUser"
AuthorizeCacheSecurityGroupIngress, |filter eventName like "AuthorizeCacheSecurityGroupIngress"
AuthorizeClusterSecurityGroupIngress, |filter eventName like "AuthorizeClusterSecurityGroupIngress"
executed ChangeDomainOwner, |filter eventName like "ChangeDomainOwner"
executed ChangePassword, |filter eventName like "ChangePassword"
ChangeResourceRecordSets, |filter eventName like "ChangeResourceRecordSets"
